test_size_calibracion,metodo_calibracion,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
0.25,isotonic,4,996,104,337,34,334,34,0.10179640718562874,0.6792156862745098,0.6740196078431373,0.1772670947326223,0.16222793856513434,0.08909605822260232,0.08962989840700136,0.31420651473457717,0.4135372614090326,0.01733364472778811,0.019478699152143057,0.010017728805541993
0.25,isotonic,5,999,104,335,34,333,34,0.1021021021021021,0.6618138894353728,0.6688471375172144,0.22733617796977523,0.2151754352088246,0.08776640935727104,0.0867385509072062,0.3121996591302554,0.4080007947878329,0.014594485823495837,0.009571564399649818,0.010226980845133463
0.3,sigmoid,1,929,96,404,41,334,35,0.10479041916167664,0.7209746774964166,0.7209746774964166,0.24207071730569782,0.24207071730569782,0.08803767175770409,0.09148059439168288,0.3071099903869705,0.3237606346831721,0.014159133192482366,0.05031230856774705,0.01059037446975708
0.3,sigmoid,2,928,96,405,41,334,35,0.10479041916167664,0.7094123268036311,0.7094123268036311,0.20055551727661952,0.20055551727661952,0.09127358460049055,0.09357604780310577,0.3186530945317128,0.3252584368579821,0.034739457480952175,0.0395885775884655,0.01079016923904419
0.3,sigmoid,3,932,97,403,41,332,34,0.10240963855421686,0.6831819976312673,0.6831819976312673,0.16257315284199947,0.16257315284199947,0.09122482851156567,0.09253894717564735,0.3194210979657405,0.3252226804135023,0.02772449590212067,0.027278056131433876,0.010278284549713135
0.3,sigmoid,4,928,97,405,41,334,34,0.10179640718562874,0.657843137254902,0.657843137254902,0.159583446558903,0.159583446558903,0.09049243932434542,0.09067495811727397,0.32003342983002797,0.32225125087824436,0.01982948852851006,0.025076433852617906,0.01141050656636556
0.3,sigmoid,5,933,97,401,41,333,34,0.1021021021021021,0.6572890025575449,0.6572890025575449,0.21481162946896953,0.21481162946896953,0.08822953082267197,0.08828309111378264,0.3134106639972612,0.314303141160478,0.006746863231815034,0.011372654267491872,0.010099931557973226
0.3,isotonic,1,929,96,404,41,334,35,0.10479041916167664,0.7209746774964166,0.6985188724319159,0.24207071730569782,0.18725578240150645,0.08803767175770409,0.09025606192399518,0.3071099903869705,0.3151006925068543,0.014159133192482366,0.013723926772077063,0.010755527019500732
0.3,isotonic,2,928,96,405,41,334,35,0.10479041916167664,0.7094123268036311,0.6953177257525083,0.20055551727661952,0.17693674195627812,0.09127358460049055,0.09047115169975826,0.3186530945317128,0.5072512172988594,0.034739457480952175,0.021446407311694202,0.009995671113332112
0.3,isotonic,3,932,97,403,41,332,34,0.10240963855421686,0.6831819976312673,0.6587050927753652,0.16257315284199947,0.14941167431339777,0.09122482851156567,0.09237545936659103,0.3194210979657405,0.4173561429787148,0.02772449590212067,0.03530700033644658,0.01024088462193807
0.3,isotonic,4,928,97,405,41,334,34,0.10179640718562874,0.657843137254902,0.648921568627451,0.159583446558903,0.15411661039385618,0.09049243932434542,0.09151559078511687,0.32003342983002797,0.7096566425079457,0.01982948852851006,0.02422905185075086,0.010256091753641764
0.3,isotonic,5,933,97,401,41,333,34,0.1021021021021021,0.6572890025575449,0.6546822742474916,0.21481162946896953,0.1910206850033399,0.08822953082267197,0.08727788675575354,0.3134106639972612,0.31193077257472007,0.006746863231815034,0.00988603335834683,0.009986257553100586
