modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
XGB,0.6932086543661378,anchor_age,0.000266,0.0266,0.003433,-0.005294,0.003943,0.38,False,False
XGB,0.6932086543661378,tp_max,0.000196,0.0196,0.000944,-0.001165,0.001329,0.416,False,False
XGB,0.6932086543661378,bilirrubina_media,0.000185,0.0185,0.000459,-0.000554,0.000629,0.38,False,False
XGB,0.6932086543661378,peso_kg,-0.000182,-0.0182,0.000754,-0.001256,0.00063,0.5,False,False
XGB,0.6932086543661378,bicarbonato_min,-0.000449,-0.0449,0.002088,-0.003888,0.001666,0.432,False,False
XGB,0.6932086543661378,fio2_max,-0.000463,-0.0463,0.002456,-0.003519,0.002444,0.488,False,False
XGB,0.6932086543661378,contador_estancia_uci,-0.00048,-0.048,0.000463,-0.001026,0.000106,0.696,False,False
XGB,0.6932086543661378,leucocitos_min,-0.000577,-0.0577,0.001366,-0.002485,0.001415,0.584,False,False
XGB,0.6932086543661378,plaquetas_min,-0.001077,-0.1077,0.001424,-0.002726,0.001188,0.68,False,False
XGB,0.6932086543661378,creatinina_max,-0.001457,-0.1457,0.002488,-0.005572,0.000874,0.664,False,False
LGBM,0.6849941237169425,map_min,0.031857,3.1857,0.007123,0.024211,0.043723,0.024,True,True
LGBM,0.6849941237169425,pf_min,0.028726,2.8726,0.00914,0.01509,0.039048,0.06,True,False
LGBM,0.6849941237169425,diuresis_ml_kg_6h,0.018771,1.8771,0.006189,0.013115,0.029246,0.092,True,False
LGBM,0.6849941237169425,gpt_max,0.012001,1.2001,0.007185,0.000648,0.019128,0.132,True,False
LGBM,0.6849941237169425,spo2_min,0.011579,1.1579,0.004209,0.005043,0.016788,0.116,True,False
LGBM,0.6849941237169425,ph_min,0.010295,1.0295,0.006549,0.00206,0.020279,0.144,True,False
LGBM,0.6849941237169425,hr_media,0.009756,0.9756,0.007842,-0.002032,0.016356,0.228,False,False
LGBM,0.6849941237169425,rr_max,0.009316,0.9316,0.007611,-0.000555,0.018058,0.252,False,False
LGBM,0.6849941237169425,glucemia_min,0.007162,0.7162,0.005919,-0.001003,0.013225,0.236,False,False
LGBM,0.6849941237169425,temp_min,0.005601,0.5601,0.010422,-0.007047,0.021489,0.32,False,False
LGBM,0.6849941237169425,ventilacion_invasiva_6h,0.005539,0.5539,0.00135,0.003472,0.007108,0.044,True,True
LGBM,0.6849941237169425,lactato_max,0.003294,0.3294,0.008901,-0.010017,0.014564,0.356,False,False
LGBM,0.6849941237169425,leucocitos_min,0.002816,0.2816,0.002263,-0.000758,0.00537,0.308,False,False
LGBM,0.6849941237169425,gender,0.00206,0.206,0.001025,0.000485,0.00336,0.148,True,False
LGBM,0.6849941237169425,gcs_min,0.001766,0.1766,0.005084,-0.004811,0.009088,0.444,False,False
LGBM,0.6849941237169425,fio2_max,0.001697,0.1697,0.003819,-0.003504,0.007102,0.368,False,False
LGBM,0.6849941237169425,sofa_max,0.001188,0.1188,0.006048,-0.006605,0.008298,0.396,False,False
LGBM,0.6849941237169425,anchor_age,0.000818,0.0818,0.002919,-0.002876,0.004798,0.424,False,False
LGBM,0.6849941237169425,bicarbonato_min,0.000671,0.0671,0.005679,-0.004426,0.010157,0.532,False,False
LGBM,0.6849941237169425,contador_estancia_uci,8.9e-05,0.0089,0.000927,-0.000819,0.00166,0.492,False,False
LGBM,0.6849941237169425,hemoglobina_min,-0.000149,-0.0149,0.003544,-0.005898,0.003985,0.504,False,False
LGBM,0.6849941237169425,peso_kg,-0.00031,-0.031,0.00182,-0.003297,0.001098,0.56,False,False
