modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
CAT,0.6447657545062072,gender,0.000107,0.0107,0.00213,-0.003431,0.002034,0.46,False,False
CAT,0.6447657545062072,fio2_max,7.4e-05,0.0074,0.003916,-0.005967,0.004531,0.46,False,False
CAT,0.6447657545062072,creatinina_max,-0.000255,-0.0255,0.002982,-0.003008,0.004595,0.52,False,False
CAT,0.6447657545062072,hemoglobina_min,-0.00136,-0.136,0.002773,-0.005877,0.001335,0.608,False,False
CAT,0.6447657545062072,peso_kg,-0.00141,-0.141,0.005622,-0.007417,0.005367,0.56,False,False
CAT,0.6447657545062072,plaquetas_min,-0.001499,-0.1499,0.007163,-0.013776,0.00513,0.472,False,False
CAT,0.6447657545062072,leucocitos_min,-0.003182,-0.3182,0.002896,-0.005971,0.001388,0.716,False,False
NB,0.6221014255492858,pf_min,0.014509,1.4509,0.007926,0.004483,0.024337,0.148,True,False
NB,0.6221014255492858,rr_max,0.008736,0.8736,0.004982,0.001816,0.0145,0.104,True,False
NB,0.6221014255492858,temp_min,0.007576,0.7576,0.001727,0.005616,0.010259,0.14,True,False
NB,0.6221014255492858,sofa_max,0.005271,0.5271,0.005633,-0.001986,0.011908,0.248,False,False
NB,0.6221014255492858,bicarbonato_min,0.004884,0.4884,0.00378,-0.001119,0.009027,0.208,False,False
NB,0.6221014255492858,fio2_max,0.004327,0.4327,0.003486,-0.000596,0.009364,0.236,False,False
NB,0.6221014255492858,map_min,0.003891,0.3891,0.001769,0.001235,0.006146,0.184,True,False
NB,0.6221014255492858,spo2_min,0.003468,0.3468,0.004336,0.000352,0.011043,0.312,True,False
NB,0.6221014255492858,hr_media,0.001822,0.1822,0.001846,-0.001123,0.003802,0.292,False,False
NB,0.6221014255492858,tp_max,0.001774,0.1774,0.004971,-0.00579,0.008348,0.4,False,False
NB,0.6221014255492858,bilirrubina_media,0.001636,0.1636,0.006358,-0.00936,0.006964,0.4,False,False
NB,0.6221014255492858,lactato_max,0.001582,0.1582,0.00504,-0.006407,0.006915,0.344,False,False
NB,0.6221014255492858,glucemia_min,0.0011,0.11,0.001902,-0.001616,0.003376,0.352,False,False
NB,0.6221014255492858,creatinina_max,0.000991,0.0991,0.005854,-0.005914,0.009617,0.464,False,False
NB,0.6221014255492858,anchor_age,0.000604,0.0604,0.000563,-1e-06,0.001429,0.304,False,False
NB,0.6221014255492858,ph_min,0.000102,0.0102,0.002437,-0.002513,0.0035,0.484,False,False
NB,0.6221014255492858,gcs_min,-3.8e-05,-0.0038,0.002722,-0.003762,0.003828,0.464,False,False
NB,0.6221014255492858,gender,-0.00011,-0.011,0.001106,-0.001599,0.001199,0.488,False,False
NB,0.6221014255492858,ventilacion_invasiva_12h,-0.000653,-0.0653,0.000635,-0.001457,6.9e-05,0.776,False,False
NB,0.6221014255492858,hemoglobina_min,-0.000757,-0.0757,0.00092,-0.001791,0.000569,0.652,False,False
NB,0.6221014255492858,peso_kg,-0.000832,-0.0832,0.000658,-0.0016,0.000152,0.696,False,False
NB,0.6221014255492858,leucocitos_min,-0.000903,-0.0903,0.00341,-0.006418,0.002325,0.488,False,False
NB,0.6221014255492858,plaquetas_min,-0.00104,-0.104,0.001786,-0.004182,-4.3e-05,0.644,False,False
NB,0.6221014255492858,contador_estancia_uci,-0.001071,-0.1071,0.004824,-0.007615,0.006009,0.548,False,False
NB,0.6221014255492858,diuresis_ml_kg_12h,-0.001304,-0.1304,0.002757,-0.006057,0.001116,0.604,False,False
NB,0.6221014255492858,gpt_max,-0.003914,-0.3914,0.009339,-0.019841,0.004783,0.532,False,False
