test_size_calibracion,metodo_calibracion,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
0.25,sigmoid,1,1973,203,651,67,657,68,0.1035007610350076,0.7303006092080295,0.7303006092080295,0.21812231249580605,0.21812231249580605,0.095902453815718,0.08943673781369202,0.3369914259323314,0.3084775924795223,0.0879919212058326,0.023125800530945942,0.018023753166198732
0.25,sigmoid,2,1971,202,654,68,656,68,0.10365853658536585,0.7063075230092037,0.7063075230092037,0.20644738934155435,0.20644738934155435,0.09911031382637436,0.08888023532752418,0.3439717596675264,0.3122557507105294,0.09578247694532051,0.01143990180317343,0.017487728595733644
0.25,sigmoid,3,1965,203,660,67,656,68,0.10365853658536585,0.711859743897559,0.711859743897559,0.22528404296941615,0.22528404296941615,0.09774546426667194,0.08800129005778771,0.34290320808173086,0.3078119003051411,0.09553728107001351,0.01199063103401597,0.017630056540171305
0.25,sigmoid,4,1977,203,648,68,656,67,0.10213414634146341,0.6829435167118567,0.6829435167118567,0.18683970144973167,0.18683970144973167,0.10012891806330877,0.08903391968012057,0.3469526852767902,0.31359394054137957,0.09433860308247455,0.021573406168482474,0.01756828228632609
0.25,sigmoid,5,1966,204,659,67,656,67,0.10213414634146341,0.6967285812026455,0.6967285812026455,0.1997561761243789,0.1997561761243789,0.0959015246993102,0.08837332044144659,0.3375499142724613,0.3101042941375057,0.08430322414652526,0.01476840672862142,0.017547651131947836
0.25,isotonic,1,1973,203,651,67,657,68,0.1035007610350076,0.7303006092080295,0.7218241286327773,0.21812231249580605,0.21154275174635764,0.095902453815718,0.09006052074337027,0.3369914259323314,0.41038073188032764,0.08799192120583259,0.027872809148107393,0.019106062253316243
0.25,isotonic,2,1971,202,654,68,656,68,0.10365853658536585,0.7063075230092037,0.7116346538615446,0.20644738934155435,0.19225145196924304,0.09911031382637436,0.09131693946084554,0.3439717596675264,0.36619053754180825,0.09578247694532051,0.03191636178312603,0.018830076853434245
0.25,isotonic,3,1965,203,660,67,656,68,0.10365853658536585,0.711859743897559,0.7062324929971989,0.22528404296941615,0.19983015047373187,0.09774546426667194,0.09061639350134475,0.34290320808173086,0.46273205098062103,0.09553728107001351,0.014860765679952677,0.02005776564280192
0.25,isotonic,4,1977,203,648,68,656,67,0.10213414634146341,0.6829435167118567,0.6523325646808402,0.18683970144973167,0.1556204135622475,0.10012891806330877,0.09186939774933921,0.3469526852767902,0.42317167168855285,0.09433860308247455,0.021589008225173775,0.018485053380330404
0.25,isotonic,5,1966,204,659,67,656,67,0.10213414634146341,0.6967285812026455,0.6933836758482629,0.1997561761243789,0.18729160054496866,0.0959015246993102,0.08857458940005293,0.3375499142724613,0.45752316278879124,0.08430322414652526,0.023447955727376738,0.019433808326721192
0.3,sigmoid,1,1840,190,784,80,657,68,0.1035007610350076,0.7240337561170478,0.7240337561170478,0.2094064070607136,0.2094064070607136,0.0966747234167336,0.08943862402861874,0.33965194071223187,0.3096236332180629,0.08984899599257763,0.024417052131860174,0.018348801136016845
0.3,sigmoid,2,1836,189,789,81,656,68,0.10365853658536585,0.6892757102841136,0.6892757102841136,0.19895433652342145,0.19895433652342145,0.10037367056691006,0.08933085403695674,0.3481019102028813,0.31407326543264036,0.09671523124971687,0.00836331077727312,0.018258047103881837
0.3,sigmoid,3,1833,189,792,81,656,68,0.10365853658536585,0.7083333333333334,0.7083333333333334,0.23323494753038665,0.23323494753038665,0.0971270686968935,0.08744627850207116,0.342050967444237,0.3071174556359798,0.09345868201859565,0.00824700158972339,0.01813315153121948
0.3,sigmoid,4,1848,190,777,81,656,67,0.10213414634146341,0.6877328130147228,0.6877328130147228,0.18832564604396768,0.18832564604396768,0.10076187418645549,0.08863920097519765,0.34878909552805537,0.31252902913255515,0.09750534200849474,0.019409318111931556,0.01825505495071411
0.3,sigmoid,5,1835,190,790,81,656,67,0.10213414634146341,0.6910523781770266,0.6910523781770266,0.1992152881410386,0.1992152881410386,0.0961664138657214,0.08829872983934457,0.33890641703784424,0.31105237809581576,0.083922360135381,0.008244680604639123,0.017841267585754394
0.3,isotonic,1,1840,190,784,80,657,68,0.1035007610350076,0.7240337561170478,0.7229851193448517,0.2094064070607136,0.20247157901672158,0.0966747234167336,0.09064629435967457,0.33965194071223187,0.46552657625656096,0.08984899599257763,0.014591002309874198,0.018296082814534504
0.3,isotonic,2,1836,189,789,81,656,68,0.10365853658536585,0.6892757102841136,0.6884128651460584,0.19895433652342145,0.18392194000368048,0.10037367056691006,0.09075158332459524,0.3481019102028813,0.36665286025084387,0.09671523124971687,0.01058108009536987,0.01782375971476237
0.3,isotonic,3,1833,189,792,81,656,68,0.10365853658536585,0.7083333333333334,0.7008303321328532,0.23323494753038665,0.1999011034163956,0.0971270686968935,0.08905814188566363,0.342050967444237,0.4083439858025956,0.09345868201859565,0.013318111459800427,0.018135233720143636
0.3,isotonic,4,1848,190,777,81,656,67,0.10213414634146341,0.6877328130147228,0.6869852773484023,0.18832564604396768,0.17693873216140518,0.10076187418645549,0.08884436917201757,0.3487890955280553,0.4095780869438843,0.09750534200849474,0.005742674332449535,0.018298999468485514
0.3,isotonic,5,1835,190,790,81,656,67,0.10213414634146341,0.6910523781770266,0.6776980969515749,0.1992152881410386,0.17094807055394898,0.0961664138657214,0.08972762946711835,0.33890641703784424,0.36507854240258825,0.083922360135381,0.019794615500816376,0.01871575911839803
